LCVP_Taxon,Common_Name
Nageia nagi (Thunb.) Kuntze ,Broadleaf podocarpus
Neea psychotrioides Donn.Sm. ,Saltwood
Nyssa aquatica L. ,Swamp tupelo
Nyssa sylvatica Marshall ,Black tupelo
Ocotea leucoxylon (Sw.) Laness. ,Black-cedar
Olea europaea L. ,Common olive
Ormosia krugii Urb. ,Peronia
Osmanthus fragrans Lour. ,Fragrant Olive
Ostrya virginiana (Mill.) K.Koch ,hornbeam
Otoba novogranatensis Moldenke ,bogamani
Oxydendrum arboreum (L.) DC. ,Sourwood
Pachira aquatica Aubl. ,Guiana chestnut
Paraserianthes falcataria (L.) I.C.Nielsen ,Peacock's plume
Peltophorum pterocarpum (DC.) Backer ex K.Heyne ,Yellow poinciana
Persea americana Mill. ,Avocado
Persea borbonia (L.) Spreng. ,Red bay
Photinia glabra (Thunb.) Maxim. ,Japanese photinia
Picea abies (L.) H.Karst. ,Norway spruce
Pictetia aculeata (Vahl) Urb. ,Tachuelo
Pinus caribaea Morelet ,Caribbean pine
Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg. ,Sand pine
Pinus echinata Mill. ,Shortleaf pine
Pinus elliottii Engelm. ,Slash pine
Pinus glabra Walter ,Cedar pine
Pinus palustris Mill. ,Longleaf Pine
Pinus serotina Michx. ,Pond pine
Pinus taeda L. ,Loblolly pine
Pinus thunbergii Parl. ,Japanese black pine
Pipturus argenteus (G.Forst.) Wedd. ,Australian Mulberry
Piscidia piscipula (L.) Sarg.,Florida fishpoison tree
Pistacia chinensis Bunge ,Pistachio
Planera aquatica J.F.Gmel. ,Water elm
Platanus hispanica_x Mill. ex Münchh. ,London planetree
Platanus occidentalis L. ,Sycamore
Platycladus orientalis (L.) Franco ,Oriental arborvitae
Plectrocarpa arborea (Jacq.) Christenh. & Byng ,
Pleiogynium timoriense (DC.) Leenh. ,Sweet plum
Plumeria rubra L. ,Frangipani
Pometia pinnata J.R.Forst. & G.Forst. ,Island Lychee
Populus canadensis_x Moench ,Canadian poplar
Populus deltoides Marshall ,Eastern cottonwood
Populus heterophylla L. ,Swamp cottonwood
Pourouma bicolor Mart. ,
Pouteria campechiana (Kunth) Baehni ,Yellow sapote
Pouteria reticulata (Engl.) Eyma ,
Protium pittieri (Rose) Engl. ,Alcanfor
Protium stevensonii (Standl.) Daly ,
Prunus caroliniana (Mill.) Aiton ,Cherry laurel
Prunus jamasakura Siebold ex Koidz. ,Yamazakura
Prunus serotina Ehrh. ,Black cherry
Pseudolmedia spuria (Sw.) Griseb. ,Bastard-cherry
Psidium guajava L. ,Common guava
Psychotria asiatica L. ,
Pterocarpus indicus Willd. ,Burmese rosewood
Pterocarpus officinalis Jacq. ,Dragonsblood tree
Pyrus calleryana Decne. ,Callery pear
Quassia amara L. ,bitter-wood
Quercus acutissima Carruth. ,Sawtooth oak
Quercus alba L. ,White oak
Quercus aliena Blume ,Oriental white oak
Quercus falcata Michx. ,Southern red oak
Quercus geminata Small ,Sand live oak
Quercus gilva Blume ,Red bark oak
Quercus glauca Thunb. ,ring-cupped oak
Quercus hemisphaerica Bartram ex Willd. ,Darlington oak
Quercus incana Bartram ,Bluejack oak
Quercus laevis Walter ,turkey oak
Quercus laurifolia Michx. ,Laurel oak
Quercus lyrata Walter ,Overcup oak
Quercus margarettae (Ashe) Small ,Sand post oak
Quercus michauxii Nutt. ,Swamp chestnut oak
Quercus myrsinifolia Blume ,bamboo-leaf oak
Quercus nigra L. ,Water oak
Quercus rubra L. ,Northern red oak
Quercus serrata Murray ,jolcham oak
Quercus stellata Wangenh. ,Post oak/ Iron oak
Quercus velutina Lam. ,Black oak
Quercus virginiana Mill. ,Live oak
Robinia pseudoacacia L. ,black oak
Rockinghamia angustifolia (Benth.) AiryShaw ,Kamala 
Salix babylonica L. ,Weeping willow
Salix nigra Marshall ,Black willow
Sapindus mukorossi Gaertn. ,Chinese soapberry
Sapium laurocerasus Desf. ,Milktree
Sarcosperma laurinum (Benth.) Hook.f. ,
Sassafras albidum (Nutt.) Nees ,sassafras
Schefflera morototoni (Aubl.) Maguire & al. ,Mountain trumpet
Schleichera oleosa (Lour.) Oken ,Kusum tree
Senna atomaria (L.) H.S.Irwin & Barneby ,Flor de San Jose
Senna siamea (Lam.) H.S.Irwin & Barneby ,Kassod tree
Sideroxylon foetidissimum Jacq. ,False Mastic
Simarouba amara Aubl. ,Bitter ash
Simarouba glauca DC. ,Paradise-tree
Sloanea berteroana Choisy ex DC. ,Montillo
Spathodea campanulata P.Beauv. ,African tulip tree
Stereospermum colais (Buch.-Ham. ex Dillwyn) Mabb. ,Trumpet flower
Styphnolobium japonicum (L.) Schott ,Japanese pagoda tree
Swietenia macrophylla King ,big leaf mahogany
Swietenia mahagoni (L.) Jacq. ,West indian mahogany
Symphonia globulifera L.f. ,boarwood
Symplocos lancifolia Siebold & Zucc. ,
Symplocos sumuntia Buch.-Ham. ex D.Don ,
Syzygium buxifolium Hook. & Arn. ,Boxleaf eugenia
Syzygium cumini (L.) Skeels ,jambolan
Syzygium jambos (L.) Alston ,Rose apple
Tabebuia heterophylla (DC.) Britton ,White cedar
Tabernaemontana arborea Rose ex Donn.Sm. ,
Talipariti tiliaceum (L.) Fryxell ,Sea Hibiscus
Tamarindus indicus L. ,Tamarind tree
Tapirira guianensis Aubl. ,Wild mahogany
Taxodium distichum (L.) Rich. ,Bald cypress
Tectona grandis L.f. ,Teak
Terminalia amazonia (J.F.Gmel.) Exell ,White olive
Terminalia buceras (L.) C.Wright ,Black olive
Terminalia catappa L. ,Sea almond
Terminalia tetraphylla (Aubl.) Gere & Boatwr. ,
Thouinia paucidentata Radlk. ,Tiger bone
Thouinia striata Radlk. ,
Toona ciliata (Roxb. ex Rottler) M.Roem. ,Cedrela
Toxicodendron succedaneum (L.) Kuntze ,Wax tree
Triadica sebifera (L.) Small ,Chinese tallow
Trichilia trifolia L. ,
Ulmus americana L. ,American elm
Ulmus parvifolia Jacq. ,Chinese elm
Ulmus rubra Muhl. ,Slippery elm
Vaccinium arboreum Marshall ,Sparkleberry
Vachellia farnesiana (L.) Wight & Arn. ,Sweet acacia
Vochysia ferruginea Mart. ,quaruba
Vochysia guatemalensis Donn.Sm. ,
Xylopia sericophylla Standl. & L.O.Williams ,
Xylosma intermedia (Seem.) Griseb. ,Cebuano
Zelkova serrata (Thunb.) Makino ,Japanese Zelkova
